id;title;type;isbn/number;URI;subject
book1;Scrum for Dummies;book;9781118905753;NULL;Agile/scrum
book2;SQL Pocket Guide;book;9781449394097;NULL;Databases/SQL
book3;SQL Pocket Guide;book;9781449394097;NULL;Databases/SQL
book4;The Data Warehouse Toolkit;book;9781118530801;NULL;Databases/SQL
book5;The Data Warehouse ETL Toolkit;book;9780764567575;NULL;Databases/SQL
book6;BABOK;book;9781927584026;NULL;Business Analysis
book7;BABOK;book;9781927584026;NULL;Business Analysis
book8;Business Analysis;book;9781780175102;NULL;Business Analysis
book9;The Pragmatic Programmer;book;9780135957059;NULL;Coding
book10;Querying Data with Transact-SQL;book;9781509304332;NULL;Databases/SQL
book11;Querying Data with Transact-SQL;book;9781509304332;NULL;Databases/SQL
book12;Oracle Certified Professional Java SE 11 Developer;book;9781119619130;NULL;Coding
book13;Handboek ISO 27001 Controls 2022;book;9789464652192;NULL;Security
book14;MTA EXAM: HTML5 Application Development Fundamentals;book;6QU00012;NULL;Coding
book14;MTA EXAM: HTML5 Application Development Fundamentals;book;6QU00012;NULL;Coding
slide1;Kick-off.pdf;slidedeck;NULL;;General
slide2;Agile en Scrum.pdf;slidedeck;NULL;;Agile/scrum
slide3;IT Bootcamp - Security Training - Niek Derksen - 15-07-2024;slidedeck;NULL;;Security
slide4;Training Introductie SDLC - Niek Derksen.pdf;slidedeck;NULL;;Project Management
slide5;WT Traineeship Bootcamp Fundamnt Training - IT in een notendop - Niek Derksen.pdf;slidedeck;NULL;;IT fundamentals
doc1;WT Lesprogramma IT-bootcamp.pdf;pdf_file;NULL;;General
doc2;De Scrumguide;weblink;NULL;https://scrumguides.org/;Agile/scrum
doc3;Design Patterns;weblink;NULL;https://refactoring.guru/design-patterns;Coding
video1;Agile Product Ownership in a Nutshell;video;NULL;https://www.youtube.com/watch?v=502ILHjX9EE;Agile/scrum
video2;SAFe Explained in Five Minutes;video;NULL;https://www.youtube.com/watch?v=aW2m-BtCJyE;Agile/scrum
video3;Large Scaled Scrum: Spotify Model;video;NULL;https://www.youtube.com/watch?v=Yvfz4HGtoPc&list=PLaEqoYnARQrTewzxx9t2IUnAcfLVB0TTu;Agile/scrum
video4;Changes to computer thinking - Stephen Fry explains cloud computing;video;NULL;https://www.youtube.com/watch?v=J9LK6EtxzgM;Cloud
video5;Microsoft Azure Fundamentals Certification Course (AZ-900) - Pass the exam in 3 hours!;video;NULL;https://www.youtube.com/watch?v=NKEFWyqJ5XA;Cloud
tutorial1;SQLzoo;online_tutorial;NULL;https://sqlzoo.net/wiki/SQL_Tutorial;Databases/SQL
tutorial2;SQLTutorial;online_tutorial;NULL;https://www.w3schools.com/sql/default.asp;Databases/SQL
webinar1;Webinar Low-code met Mendix - 16-04-20;webinar;NULL;https://www.youtube.com/watch?v=daL7YpnN0h0;Low-code
course1;IT for beginners;udemy_course;NULL;https://workingtalent.udemy.com/course/it-for-beginners/learn/lecture/13750990#overview;IT fundamentals
course2;Learn Scrum, understand the Agile principles + prepare for your Agile/Scrum Master Certification in 2024;udemy_course;NULL;https://workingtalent.udemy.com/course/agile-scrum-for-beginners-scrum-master-certification-preparation/learn/lecture/30969450#overview;Agile/scrum
course3;Introduction to Computer Networks for Non-Techies;udemy_course;NULL;https://workingtalent.udemy.com/course/introduction-to-computer-networks/learn/lecture/13563618?course_portion_id=166596&learning_path_id=668704#overview;Networks
course4;Cloud Computing Fundamentals;udemy_course;NULL;https://workingtalent.udemy.com/course/welcome-to-cloud-computing-world/learn/lecture/24594308#overview;Cloud
